Variable,Brecha,Equitativo,0,1
ES_PRIVADA,0.07420143286904968,⚡ HALLAZGO,0.6939949657992641,0.7681963986683138
LICENCIADA,0.17582298285233788,⚡ HALLAZGO,0.5882092776589611,0.764032260511299
COHORTE_COVID,0.16668825265833787,⚡ HALLAZGO,0.7321540983228,0.8988423509811378
