Modelo,AUC_mean,AUC_std,F1_mean,F1_std,Recall_mean,Recall_std,MCC_mean,MCC_std,Brier_mean,Brier_std,Brecha_train_test,Umbral_optimo
Logit,0.8663213827340304,0.05041385420140984,0.8436935166503343,0.08466709850114823,0.8841470646544634,0.06818756761858621,0.5137796713745078,0.12184997173296541,0.14754636118501438,0.043990761502768365,-0.008119289166405919,0.2986153546357949
RandomForest,0.8854589740751215,0.04187705779294623,0.8609350010079769,0.06751475975920103,0.8752113304518027,0.0862895889666594,0.5700117606181904,0.11500551219350728,0.1292849796753792,0.03788602378953256,0.015551269826471726,0.30351767433963117
XGBoost,0.8853283852886806,0.03924071783751955,0.8607297754454482,0.06783922127033132,0.8740181827825554,0.0887230967499307,0.571417233450179,0.11033027863157285,0.12846492230892181,0.037463341538493664,0.012907633536067008,0.2980235040187836
MLP,0.8785560400974937,0.045467275827262336,0.8556241343003326,0.07232053784754931,0.8667808465424567,0.07799888865492907,0.5648994148884701,0.10452698003284175,0.13655949643222412,0.04355188233852052,0.01705482735564403,0.30416121835729343
