,0
n_semestres,0.3101384782032644
NIVEL_ACADEMICO,0.05175451367180821
ES_PRIVADA,0.03352284635815551
MACROREGION,0.029266417579547038
brecha,0.023123642311460874
COHORTE_COVID,0.018945650569517056
EDAD_INGRESO,0.016807694779049104
AREA_CONOCIMIENTO,0.010040750879938186
LICENCIADA,0.00864300413933232
